iter	RMSE
0	0.4986118094
1	0.4977995354
2	0.4966252438
3	0.4960189791
4	0.4956941488
5	0.4949708823
6	0.4936734304
7	0.4925208917
8	0.4919381612
9	0.4909116765
10	0.4902950392
11	0.4895036833
12	0.4887787516
13	0.488177973
14	0.4873753616
15	0.4866564066
16	0.4862075615
17	0.4858199719
18	0.4851008856
19	0.484171512
20	0.4835028328
21	0.4829762279
22	0.4822535101
23	0.4812840807
24	0.4807731388
25	0.4802013877
26	0.4794680155
27	0.4788466332
28	0.4786441434
29	0.4778326191
30	0.476839217
31	0.4762297201
32	0.4756899964
33	0.4751357145
34	0.474645207
35	0.4738387583
36	0.4732032283
37	0.4728862061
38	0.4719986956
39	0.4715152859
40	0.4710800275
41	0.4703277412
42	0.4696548275
43	0.4689145868
44	0.4683434337
45	0.4679336489
46	0.4676715816
47	0.4674038849
48	0.4665332587
49	0.4657756047
50	0.4648701053
51	0.4644169567
52	0.4637259655
53	0.4630528466
54	0.4627241085
55	0.4620882992
56	0.4610894708
57	0.460563711
58	0.4596884251
59	0.4590454942
60	0.4585324261
61	0.4580451334
62	0.4574917446
63	0.4571251659
64	0.4563498874
65	0.4556238857
66	0.4548387261
67	0.4541620236
68	0.4537387438
69	0.4531170302
70	0.4526439428
71	0.452048962
72	0.45135596
73	0.4512926516
74	0.4507597939
75	0.4502604505
76	0.4497759576
77	0.4495077413
78	0.4490984364
79	0.4487545442
80	0.4483914187
81	0.4478294726
82	0.4473062067
83	0.447007293
84	0.4465245662
85	0.4461282065
86	0.4455492668
87	0.44513114
88	0.4447614881
89	0.4441037335
90	0.4435850112
91	0.4429464775
92	0.44258863
93	0.4419217873
94	0.4413193113
95	0.4408890726
96	0.4405895508
97	0.4399724627
98	0.4396089924
99	0.4390925676
100	0.4388324916
101	0.438455125
102	0.4381123735
103	0.4375943768
104	0.4371207148
105	0.4365669995
106	0.4359820571
107	0.4356931047
108	0.4351028197
109	0.4346532583
110	0.4340669049
111	0.433662163
112	0.4330949024
113	0.4326626478
114	0.4322097473
115	0.4318607883
116	0.4312698235
117	0.430560378
118	0.4305450584
119	0.4299833217
120	0.4296187818
121	0.4292367323
122	0.4284990458
123	0.4283095162
124	0.4279894809
125	0.4277427413
126	0.426881925
127	0.4262049491
128	0.4257452745
129	0.4256643524
130	0.4251583735
131	0.4248641869
132	0.4241616135
133	0.4237013907
134	0.4232835211
135	0.4230775508
136	0.422456584
137	0.4221230814
138	0.4216672429
139	0.421440686
140	0.4211067389
141	0.4205013415
142	0.4198988327
143	0.4192732066
144	0.4186485573
145	0.4181572349
146	0.4178571052
147	0.4175906966
148	0.4170899217
149	0.4168516313
150	0.4163496634
151	0.4156515236
152	0.4152092658
153	0.415176358
154	0.4148088411
155	0.4142080619
156	0.4137432455
157	0.4130471035
158	0.4125510329
159	0.412115728
160	0.4116784572
161	0.4110567811
162	0.4108508149
163	0.4108497656
164	0.4104098638
165	0.4099515359
166	0.4094531548
167	0.4089764412
168	0.4082387898
169	0.4078918521
170	0.4075378495
171	0.407312055
172	0.4069178803
173	0.4064544664
174	0.4058600384
175	0.405243728
176	0.4048807868
177	0.4044472559
178	0.404122012
179	0.4035801273
180	0.4030519707
181	0.4028349887
182	0.4025847723
183	0.4021840542
184	0.4018190438
185	0.4015052631
186	0.4012649789
187	0.4009657584
188	0.4005877521
189	0.4000666598
190	0.3996648235
191	0.3992998837
192	0.3989686878
193	0.398589225
194	0.3982679157
195	0.3978468067
196	0.3972716687
197	0.3970345662
198	0.3964511381
199	0.3958733679
200	0.3954001073
201	0.3950506241
202	0.3946533637
203	0.3941876425
204	0.3935798767
205	0.3932488354
206	0.3928235763
207	0.3925068495
208	0.3921643525
209	0.3919061864
210	0.3914493234
211	0.3911611478
212	0.3907042193
213	0.3903803291
214	0.3898682751
215	0.3895372622
216	0.3892462504
217	0.3889130406
218	0.3886021413
219	0.3880442766
220	0.3875444211
221	0.3871490237
222	0.3867705672
223	0.3863892497
224	0.3861204452
225	0.3857276681
226	0.3852130269
227	0.3846728516
228	0.3842341139
229	0.3839428959
230	0.3835182562
231	0.3832127507
232	0.3828384799
233	0.3824798405
234	0.3822177837
235	0.3817145053
236	0.3812843907
237	0.3810180434
238	0.3803315649
239	0.3799153468
240	0.3795378979
241	0.3792700793
242	0.378822359
243	0.3782679093
244	0.3779661103
245	0.3775851335
246	0.3771558744
247	0.3767478116
248	0.3764975803
249	0.3761629567
250	0.3757230677
251	0.3752907124
252	0.3748342007
253	0.3745648588
254	0.374258954
255	0.3739526481
256	0.3732205461
257	0.3726690838
258	0.3722359715
259	0.3719139255
260	0.3714164135
261	0.3710896256
262	0.370696344
263	0.3702098192
264	0.3698208345
265	0.3692980674
266	0.3690563969
267	0.3682610275
268	0.3676820162
269	0.3673167539
270	0.3669201656
271	0.3664234426
272	0.3661197831
273	0.3655099173
274	0.3652280603
275	0.3648872677
276	0.3643991887
277	0.3641899198
278	0.3638613778
279	0.3634936374
280	0.3630466118
281	0.3627720736
282	0.3624761512
283	0.3621321484
284	0.3617971323
285	0.3615045167
286	0.3612112025
287	0.3609396554
288	0.360747773
289	0.3604336517
290	0.3601223148
291	0.3597592104
292	0.3594519725
293	0.3591293164
294	0.3587036883
295	0.3583681294
296	0.3578261339
297	0.3575694665
298	0.3573765304
299	0.3571427166
300	0.3567824563
301	0.3563679991
302	0.3559819379
303	0.3556564264
304	0.3551483515
305	0.354912636
306	0.3545400315
307	0.3540636025
308	0.3535906373
309	0.3533358963
310	0.3530365903
311	0.3527945893
312	0.3525285771
313	0.3521046573
314	0.3519156366
315	0.3515608217
316	0.351303759
317	0.3508320113
318	0.3506268524
319	0.35021176
320	0.3499605757
321	0.3496452217
322	0.3493452734
323	0.3490341443
324	0.348683354
325	0.3485252247
326	0.3483537951
327	0.348051517
328	0.3476891865
329	0.3473531188
330	0.3469311194
331	0.3466258796
332	0.3462400423
333	0.3459966405
334	0.3457177844
335	0.3454495382
336	0.3452116319
337	0.3447446035
338	0.3444121616
339	0.3441605073
340	0.343754341
341	0.3435307608
342	0.3432217
343	0.3426991488
344	0.3425006412
345	0.3422468854
346	0.3418902165
347	0.3416259474
348	0.3411891689
349	0.3408929778
350	0.3403874115
351	0.3402142606
352	0.3399647753
353	0.33962206
354	0.3391757414
355	0.3389193169
356	0.3384775216
357	0.338034428
358	0.3376476822
359	0.3373863954
360	0.3371156126
361	0.3368031746
362	0.3365066323
363	0.3362016674
364	0.3359569989
365	0.3356422897
366	0.3353322793
367	0.3350921709
368	0.3345548969
369	0.3342353259
370	0.3340411242
371	0.3338649245
372	0.3336402262
373	0.3332003824
374	0.3330018995
375	0.3327571377
376	0.3323232969
377	0.3321335406
378	0.3319629222
379	0.3316859487
380	0.3314528648
381	0.3312691774
382	0.3309356476
383	0.3306230542
384	0.3303377229
385	0.3298408198
386	0.32965176
387	0.3294714793
388	0.3292170349
389	0.3289173884
390	0.3287109031
391	0.3282897662
392	0.3279005572
393	0.3277003043
394	0.32733819
395	0.3269509661
396	0.3266173346
397	0.3263579182
398	0.3261600686
399	0.3260040495
400	0.325735188
401	0.3254621864
402	0.3252678456
403	0.3249526928
404	0.3247014052
405	0.3244078064
406	0.3241505836
407	0.3237228267
408	0.3234228516
409	0.3231145643
410	0.3227916659
411	0.3226475543
412	0.3221656875
413	0.3219932966
414	0.3217938533
415	0.3215968051
416	0.3213394119
417	0.32106801
418	0.3206289165
419	0.3202832646
420	0.319936625
421	0.3195849502
422	0.3194176375
423	0.3191185615
424	0.3187892151
425	0.318599447
426	0.3182375127
427	0.3178504924
428	0.3176302367
429	0.3173335472
430	0.3171834416
431	0.3168498588
432	0.3164206071
433	0.3161410778
434	0.315944264
435	0.31549061
436	0.3153680122
437	0.315077695
438	0.3148144813
439	0.3146479052
440	0.3144676698
441	0.3141179797
442	0.3138096306
443	0.3135122044
444	0.3131735806
445	0.3129484152
446	0.3126401828
447	0.3125144127
448	0.3121581988
449	0.3119433832
450	0.3115930889
451	0.3113099318
452	0.3110186551
453	0.3108029306
454	0.3105255822
455	0.3102417263
456	0.3099549187
457	0.3097246889
458	0.3094029736
459	0.3091934099
460	0.3087170489
461	0.3085057497
462	0.3081742071
463	0.30793824
464	0.3077206537
465	0.3076025826
466	0.3073739701
467	0.3072908783
468	0.3071147366
469	0.3068635416
470	0.3065700713
471	0.3061674522
472	0.3058284249
473	0.305651179
474	0.3054937995
475	0.3052515655
476	0.3049224051
477	0.3045905555
478	0.3042183179
479	0.3040090444
480	0.3037193521
481	0.3035745884
482	0.303297104
483	0.3031209783
484	0.3028706051
485	0.3026989319
486	0.3024730943
487	0.3021534289
488	0.3018678732
489	0.3017031303
490	0.3013190529
491	0.3011532727
492	0.3009296663
493	0.3005175284
494	0.3001592871
495	0.2998608314
496	0.2996176426
497	0.2994275295
498	0.2991951823
499	0.2989178206
500	0.2986164206
501	0.2983424349
502	0.298051393
503	0.2977146194
504	0.2975011297
505	0.2972614876
506	0.2970522053
507	0.296920418
508	0.2967403954
509	0.2965098583
510	0.2961798774
511	0.2960622098
512	0.2958062896
513	0.2956576517
514	0.2953789367
515	0.2951433364
